time, accX, accY, accZ
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.35718496017456053, -3.315969007055461, -9.048585899353027
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.23642741394042968, -3.4461540145874023, -9.124751439666747
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.34326868129121135, -3.25596462020874, -9.163956491851806
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.28446108474731446, -3.1645360443115234, -9.06534531097412
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.16175824966430663, -3.435978365270793, -9.100360510253905
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.09935936889648436, -3.359962754821777, -8.84867006072998
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.18629879841459915, -3.2754172164365647, -9.043049308013915
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.1728314323425293, -3.229927677154541, -8.953416383361816
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.29807808842314404, -3.241749340112507, -9.117868109893799
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.1596633232116699, -3.328089945220947, -9.2443118850708
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.30256723480224607, -3.1865327720642087, -9.087042763519287
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.31708208236694335, -3.1555577880859373, -9.088688777160645
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.21532851181030271, -3.3391631278991696, -9.236979642486572
Tue Jul 23 2019 13:26:30 GMT+1000 (AEST), 0.2964321113144047, -3.3993174446105954, -9.035268737140298
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.2512415367126465, -3.288585617828369, -9.122506875610352
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.3043628860473633, -3.21765739364624, -9.11607245864868
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.4149450752258301, -3.03899009475708, -9.188796334075928
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.6762123496566899, -2.8350340408325194, -9.540594340515137
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.5391442680801265, -2.9275100799560545, -9.650279288592934
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.0579097526550293, -2.9803324463441965, -8.942941751098632
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), -0.030974983978271482, -2.7723358848571777, -8.769511768341063
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.023792378997802732, -2.6108766181394456, -8.888772938537597
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), -0.03232172241210937, -2.568828743743896, -9.134328246307373
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.29942482685698196, -2.9750951302126047, -9.74859060974121
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.2620154441833496, -2.8239608581542965, -9.520991814422606
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.08768763580322265, -2.752733651025593, -9.246107536315918
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.2754828285217285, -2.6746222373411057, -9.532663547515869
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.3624222945724614, -2.3560440711975095, -9.69187795791626
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.15158287434233353, -2.34003255533427, -9.14914236907959
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), -0.1351227379287593, -2.682104409790039, -8.9631428276062
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.11372457429084461, -2.287958961486816, -9.317634310913085
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), -0.023193841140851143, -2.078616246087849, -9.063100746917724
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.08110356297148391, -2.8125884002685546, -9.40457375869751
Tue Jul 23 2019 13:26:31 GMT+1000 (AEST), 0.1406593212763604, -2.146850701141357, -9.488071541595458
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), -0.42661682201882356, -1.9110218376159667, -8.751255980682373
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), -0.2726397231834475, -1.686116519165039, -10.006266563415526
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), -0.22041617663840296, -1.908178723144531, -10.375871444702147
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), -0.6147112579788081, -2.2673089721679687, -9.12280615081787
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), -0.6703764648437499, -2.551919694519043, -9.197475315093994
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), -0.2823662130936049, -2.1875521293640134, -9.285312588500975
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), 0.21682489241447764, -1.8819919963560998, -9.33978067626953
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), 0.1819592896392569, -2.298583377484232, -9.743203656005859
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), -0.1315314354385249, -2.147598889160156, -9.453505255126952
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), 0.3972878379821777, -1.5520413723267614, -9.07836378250122
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), 0.4381389038085937, -1.6255132896423339, -10.003273811340332
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), 0.7218518005371093, -1.6699556579589843, -10.168324088287353
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), -0.03441664886474609, -1.3871405868530273, -8.981997165679932
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), 0.3016694457123056, -1.4148235435485839, -9.520243626403808
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), 0.4483142973968759, -1.3456908244810997, -9.906458281707764
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), 0.24839842224121092, -1.2729672413147985, -9.299378523254394
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), 0.25797526541445404, -1.385045806530863, -9.166500331115722
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), 0.38636429290771485, -1.2811973095215856, -9.56348889389038
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), 0.465372911160253, -1.014542953491211, -9.594314240264891
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), 0.5714660087585449, -0.9745897132873534, -9.445873737335205
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), 0.7408557762145995, -1.226878567095846, -9.488370816802979
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), 0.7643488800048828, -1.5969325073242187, -9.65327145614624
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), 0.8806173711914569, -1.2714707191467285, -9.855431858825684
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), 0.9154829328674823, -1.1584943283081055, -9.855581496429442
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), 1.0908581314086914, -1.022024833679199, -9.503933127593994
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), 1.051353730950877, -1.176001927947998, -9.645939213562011
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), 1.3763666063170878, -1.024119833197072, -10.167875175476073
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), 1.544409708404541, -0.7760206861633807, -10.084527030181885
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), 1.1487678840637205, -0.9042600760528817, -9.598504093170165
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), 1.112256381811574, -1.0417769608428702, -9.57067149887085
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), 1.045069024658203, -1.055394019317627, -9.749338797760009
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), 1.061080248260498, -1.105672254180908, -9.878027136993408
Tue Jul 23 2019 13:26:32 GMT+1000 (AEST), 0.7273885380066931, -2.2298996442932633, -9.477746546936034
Tue Jul 23 2019 13:26:33 GMT+1000 (AEST), 1.8091186294555663, -3.441664959539845, -10.34205334625244
Tue Jul 23 2019 13:26:33 GMT+1000 (AEST), 2.7515364040650425, -3.011606413269043, -9.938929641723632
