time, rotA, rotB, rotG
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), 1.659090622158238, 1.0687250355171842, -0.0504689614683118
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), 0.9135461257822564, 2.9503625374631843, -0.3034444140497598
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), -0.23290766310886296, 1.1108239736836156, -0.7803731250577576
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), 3.0063197160121597, 1.0730432091765132, -1.9445727859492015
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), 1.2730432076272398, 3.988570501212163, -0.49254660555589314
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), 0.9899316530867998, 0.6974481185097502, -0.04753923720119945
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), 1.862612223456341, -1.9140629712569892, 0.2701334480654754
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), 1.0474573205456454, 0.9451135525787628, 0.866614828778041
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), 1.1825891981797627, -1.0624241860078474, 1.426322470999258
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), -1.0893529538625633, 0.9260400358780907, 0.6256785184236661
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), -0.2341894174757246, 1.4138636723446258, -1.209221386414112
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), -0.4869970234944049, 2.3898464783206728, -0.35948993149069614
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), 0.12097416280493699, 2.760833325731793, -0.30129293114163225
Tue Jul 23 2019 13:31:02 GMT+1000 (AEST), -1.2169164482877775, 1.9573512161126492, -0.29511310404665164
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 1.7937950793607007, -0.5171208791376585, -0.7747425945824341
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 7.175295576885047, 7.325362516913043, -1.4952931876295177
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 11.78051988891488, 12.121779191737165, -0.30654193151878706
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 13.471743029301736, 14.636427740345956, 0.2270731607733647
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 16.477266174501942, 12.953337647713292, -0.43982747028203234
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 16.898866431210152, 13.689481776078926, -0.078102626189714
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 21.490968242297097, 21.33648643874433, -2.383415855217106
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 14.65317024154895, 12.021102203371177, -1.164696236988445
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 35.72281143470464, 38.21575876477301, -1.9437337398983476
Tue Jul 23 2019 13:31:03 GMT+1000 (AEST), 31.558410946802017, 31.29345424851888, -2.3284535364094245
